id,categoria,nombre,estado,archivo_url,fotos
77,Personales,Casco Anthony Carmine,vendida/apagada,/files/Casco_f1f07570.3mf,3
78,Personales,Funda Samsung S25 FE (J&A),nueva/apagada,/files/s25_fe_J&A_0826786b.stl,0
79,Personales,Meshy AI - Sunny Scruff,nueva/apagada,/files/Meshy_AI_Sunny_Scruff_1785387437_texture_-_Copy_f4e59707.3mf,0
80,Personales,Organizador Milwaukee Packout M18,vendida/apagada,/files/PETG_-_milwaukee_m2650-22_aba55cdd.3mf,3
81,Personales,Pieza de Mantenimiento,nueva/apagada,/files/mantenimiento_07233af1.3mf,0
82,Personales,Tanga Hombre (encargo),nueva/apagada,/files/original_v2_repair_cc5dcd56.3mf,0
83,Personales,Ventilador Extractor,nueva/apagada,/files/Radial+Impeller_1fae0a8b.3mf,0
84,Soportes,Clip Negro (VENDIDO - falta archivo),vendida/apagada,,3
85,Soportes,Gancho Doble para Bano,nueva/apagada,/files/The_Bathroom_Hook_Double_Sided_bfbe1ccc.3mf,0
86,Soportes,Ganchos Negros (VENDIDO - falta archivo),vendida/apagada,,2
87,Soportes,Gatito - Porta Celular,nueva/apagada,/files/sand+kitten_3dfc8a3f.3mf,0
88,Soportes,Guia de Filamento Derecha (Ender 3 SE),nueva/apagada,/files/right+hand+angled+filament+guide+bambo_26a47174.3mf,0
89,Soportes,Jabonera Colgante,nueva/apagada,/files/Hanging+Soap+Dish_b14b5445.3mf,0
90,Soportes,Labrador - Porta Celular,nueva/apagada,/files/angled+dog_single+color_d2cd7891.3mf,0
91,Soportes,Organizador Marcadores Acrilicos 6x8,nueva/apagada,/files/6x8_a04e950c.3mf,0
92,Soportes,Porta Juegos Nintendo Switch 2,nueva/apagada,/files/Switch+2+Game+Case+Holder_5020ce17.3mf,0
93,Soportes,Portamarcadores 1mm,nueva/apagada,/files/Marker_Box_1mm_a9c5cee3.3mf,0
94,Soportes,Portamarcadores 64,nueva/apagada,/files/64+marker+holder+3mf_02130d7c.3mf,0
95,Soportes,Repisa Marcadores Acrilicos 8x6,nueva/apagada,/files/MarkerShelfLite_8x6_9eb15a41.3mf,0
96,Soportes,Set de Tornillos y Tuercas M6,nueva/apagada,/files/M6_0d273e0c.3mf,0
97,Soportes,Soporte (sin identificar),nueva/apagada,/files/Soporte_c10a6409.3mf,0
98,Soportes,Soporte Celular Bici-Scooter,nueva/apagada,/files/Big+phone+holder+PLA+PETG+TPU_e013809a.3mf,0
99,Soportes,Soporte Celular Michael Jackson,nueva/apagada,/files/mICHAEL+jACKSON+pHONE+STAND(Thin+Base)+with+HEe+hee_b7adba19.3mf,0
100,Soportes,Soporte Celular para Bici (22mm),nueva/apagada,/files/PhoneMount_Ø22_a0a32046.3mf,0
101,Soportes,Soporte de Audifonos Moderno,nueva/apagada,/files/Headphone+Stand+01_8bfd72f5.3mf,0
102,Soportes,Soporte de Pared Echo Pop,nueva/apagada,/files/Echo+Pop+Wall+Bracket_969d5b27.3mf,0
103,Soportes,Soporte de Pared Google Home Mini,nueva/apagada,/files/speaker_0ba5fd92.3mf,0
104,Soportes,Soporte de Pared Google Nest Mini 2,nueva/apagada,/files/GoogleNestMini2WallBracketHolderMount_e5b2ef05.3mf,0
105,Soportes,Soporte GoPro Lente Central,nueva/apagada,/files/gopro_offset_v7_474cb25e.3mf,0
106,Soportes,Sujetador de Paginas de Libro,nueva/apagada,/files/BookPageHolderV3_22mm_b58dea05.3mf,0
107,Soportes,Tornillo M6 70mm con Tuerca,nueva/apagada,/files/m6_70mm_f35e45b5.3mf,0
108,Pokemon / Figuras,Charmander Articulado - Llavero,nueva/apagada,/files/4色打印_938f2236.3mf,0
109,Pokemon / Figuras,Eevee,vendida/apagada,/files/EEVEE_MULTIPART_13a8929f.3mf,6
110,Pokemon / Figuras,Gardevoir,vendida/apagada,/files/沙奈朵拆_5e0e1a85.3mf,5
111,Pokemon / Figuras,Gible - Gabite - Garchomp,vendida/apagada,/files/Gible+Multipart_8877a3f3.3mf,8
112,Pokemon / Figuras,Glaceon Chibi,vendida/apagada,/files/glaceon+multiparrt_af68da03.3mf,3
113,Pokemon / Figuras,Jolteon Chibi,vendida/apagada,/files/JOLTEON_17d63758.3mf,10
114,Pokemon / Figuras,Kyogre,nueva/apagada,/files/382盖欧卡mw_beff0aeb.3mf,0
115,Pokemon / Figuras,Latios (sin AMS),nueva/apagada,/files/381拉帝欧斯+100%通用配置+11.23修改_1c45fa3f.3mf,0
116,Pokemon / Figuras,Latios y Latias Flexi,nueva/apagada,/files/Latios+flexi_b272d239.3mf,0
117,Pokemon / Figuras,Lugia 308mm con Base,nueva/apagada,/files/Lugia+v2_da7ba44a.3mf,0
118,Pokemon / Figuras,Mewtwo 32cm por Piezas,nueva/apagada,,0
119,Pokemon / Figuras,Mewtwo con Base,vendida/apagada,/files/Mewtwo+with+base_1e7f73c2.3mf,3
120,Pokemon / Figuras,Mewtwo por Piezas (sin AMS),nueva/apagada,/files/超梦MEWTWO_f139fe81.3mf,0
121,Pokemon / Figuras,Rayquaza Flexi,vendida/apagada,,2
122,Pokemon / Figuras,Rayquaza Legendario,nueva/apagada,/files/rayquaza_mypokeprints+-+19_e57691f1.3mf,0
123,Pokemon / Figuras,Sylveon Chibi,nueva/apagada,/files/version+cabeza+mas+grande_38f8d537.3mf,0
124,Pokemon / Figuras,Umbreon,vendida/apagada,/files/umbreon+p1s_fa86e011.3mf,3
125,Pokemon / Figuras,Vulpix de Alola,nueva/apagada,/files/No+AMS_435374bd.3mf,0
126,Pokemon / Llaveros,Charmander Bebe - Llavero,nueva/apagada,/files/Charmander_4_Colors_90720284.3mf,0
127,Pokemon / Llaveros,Craneo de Cubone - Llavero,nueva/apagada,/files/Cubone+Keychain_74e25296.3mf,0
128,Pokemon / Llaveros,Eevee Flexi Acostado - Llavero,nueva/apagada,/files/eevee+Keychain_65eacad3.3mf,0
129,Pokemon / Llaveros,Gengar Mini - Llavero,nueva/apagada,/files/Gengar+mini_(1)_48e71f28.3mf,0
130,Pokemon / Llaveros,Llavero Silueta Charizard (VENDIDO - falta archivo),vendida/apagada,,2
131,Pokemon / Llaveros,Llaveros Equipos Pokemon Go,nueva/apagada,/files/smaller+size_bb3cbf39.3mf,0
132,Pokemon / Llaveros,Luxury Ball - Llavero,nueva/apagada,/files/LuxuryBall_Signis_2602_5b2f8032.3mf,0
133,Pokemon / Llaveros,Master Ball - Llavero,nueva/apagada,/files/KeyChain_Masterball_Signis_2601_240c3541.3mf,0
134,Pokemon / Llaveros,Mew Flexi - Llavero,nueva/apagada,/files/Mew+flexy+def_4e8e413f.3mf,0
135,Pokemon / Llaveros,Pikachu Minimalista - Llavero,nueva/apagada,/files/ImageToStl.com_Llavero+pikachu_1cbd6d5f.3mf,0
136,Pokemon / Llaveros,Pokeball - Llavero,nueva/apagada,/files/pokeball+keychain+v2_2144f6b0.3mf,0
137,Pokemon / Llaveros,Pokeball Clicker - Llavero,nueva/apagada,/files/Mewtwo+keychain_(3)_f7ff2b82.3mf,0
138,Pokemon / Llaveros,Pokeball Loop - Llavero,vendida/apagada,/files/Pokeball_loop+keychain+v3_(descarga_02-09-2026)_d0e0a1a5.3mf,2
139,Pokemon / Llaveros,Psyduck - Llavero,nueva/apagada,/files/cute+mini+Psyduck+keychain_1dea9ae4.3mf,0
140,Pokemon / Llaveros,Quick Ball - Llavero,nueva/apagada,/files/Schlüsselanhänger_Flottenball_A1mini_7d9fbed8.3mf,0
141,Pokemon / Llaveros,Superball - Llavero,nueva/apagada,/files/Schlüsselanhänger_Superball_Signis_2608_V3_29c87203.3mf,0
142,Pokemon / Llaveros,Ultra Ball - Llavero,nueva/apagada,/files/Keychain_Hyperball_NoAMS_ObjByObj_Signis_a904bdcf.3mf,0
143,Pokemon / Llaveros,Vaporeon - Llavero,nueva/apagada,/files/Vaporeon+Keychain_3fa4ced9.3mf,0
144,Pokemon / Macetas,maceta charmander,nueva/apagada,/files/maceta+charmander_dc98795e.3mf,0
145,Pokemon / Macetas,Maceta Nido de Moltres,nueva/apagada,/files/Moltres_Flame_Nest_Planter_stl_9634ffee.3mf,0
146,Pokemon / Macetas,Maceta Oddish (Mystherbe),vendida/apagada,/files/Mystherbe_06837a0b.3mf,4
147,Pokemon / Macetas,Maceta Oddish (ojos felices),nueva/apagada,/files/Oddish+Planter_503b153b.3mf,0
148,Pokemon / Macetas,Maceta Oddish (version 4),nueva/apagada,/files/Gengar+4_17e8b862.3mf,0
149,Pokemon / Macetas,Maceta Squirtle,nueva/apagada,/files/SquirtlePlanter_3MF_855e8fbf.3mf,0
150,Pokemon / Pokeballs,Insignias Equipos Pokemon Go,nueva/apagada,/files/Pokemon+Go+Badges_77d3a598.3mf,0
151,Pokemon / Pokeballs,Pokeball Clasica (VENDIDO - falta archivo),vendida/apagada,,5
152,Pokemon / Pokeballs,Pokeball de Mewtwo,nueva/apagada,/files/Mewtwo+Pokeball+V2_a07ac519.3mf,0
153,Pokemon / Pokeballs,Pokeball de Umbreon,nueva/apagada,/files/Umbreon+Pokeball+V2_a33585aa.3mf,0
154,Pokemon / Pokeballs,Pokeball Organizador de Escritorio,nueva/apagada,/files/pen+pot+insert_201108ef.3mf,0
155,Pokemon / Pokeballs,Pokeball Portalapices,nueva/apagada,/files/Poke+Ball+Pencil+Holder+Seperated_27f82ac1.3mf,0
156,Pokemon / Accesorios,Arcade Nintendo Switch Pokemon,nueva/apagada,/files/SwitchArcadePokemon_8f5ec0c0.3mf,0
157,Pokemon / Accesorios,Bulbasaur - Soporte de Audifonos,nueva/apagada,/files/Bulbasaur_Body_b6cc01d0.3mf,0
158,Pokemon / Accesorios,Caja Porta Cartas con Pokeball,nueva/apagada,/files/Porta+carte+Pokemon+pokeball_89c99316.3mf,0
159,Pokemon / Accesorios,Caja Rugged para Cartas Pokemon,nueva/apagada,/files/Pokebox+a1+mini_851c1300.3mf,0
160,Pokemon / Accesorios,Centro Pokemon - Dock Switch,vendida/apagada,/files/rocky+ridges+center_632f9b38.3mf,3
161,Pokemon / Accesorios,Charizard - Porta Mando,vendida/apagada,/files/Charizardmultiparte_2a5577f2.3mf,6
162,Pokemon / Accesorios,Charizard - Porta Mando (Glurak),nueva/apagada,/files/meins_0852d3a7.3mf,0
163,Pokemon / Accesorios,Chikorita - Porta Mando,vendida/apagada,/files/Chikorita_Holder_4647d65f.3mf,6
164,Pokemon / Accesorios,Combee - Monedero,nueva/apagada,/files/Combee_Purse_swirly_wings_a04e6cd9.3mf,0
165,Pokemon / Accesorios,Deck Box Pokemon,nueva/apagada,/files/PokeDeckBox_fbab863b.3mf,0
166,Pokemon / Accesorios,Deck Box Pokemon - Game Boy,nueva/apagada,/files/Case-GB_ccd360a4.3mf,0
167,Pokemon / Accesorios,Gengar - Portalapices,nueva/apagada,/files/porta+lapis+gengar+colorido+1x_3c525e1c.3mf,0
168,Pokemon / Accesorios,Lapras porta jabon,nueva/apagada,/files/Lap+soap+multi_e282ef45.3mf,0
169,Pokemon / Accesorios,Reshiram - Porta Mando,nueva/apagada,/files/宝可梦莱希拉姆手柄支架_72b81433.3mf,0
